#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00221      NaN       NaN       NaN       NaN       NaN
   0.00453  0.99578  0.00384      NaN       NaN       NaN       NaN       NaN
   0.01162  0.98916  0.00639      NaN       NaN       NaN       NaN       NaN
   0.01909  0.98218  0.00905      NaN       NaN       NaN       NaN       NaN
   0.02693  0.97484  0.01182      NaN       NaN       NaN       NaN       NaN
   0.03515  0.96714  0.01470      NaN       NaN       NaN       NaN       NaN
   0.04374  0.95909  0.01768      NaN       NaN       NaN       NaN       NaN
   0.05269  0.95068  0.02075      NaN       NaN       NaN       NaN       NaN
   0.06198  0.94195  0.02391      NaN       NaN       NaN       NaN       NaN
   0.07158  0.93291  0.02715      NaN       NaN       NaN       NaN       NaN
   0.08147  0.92358  0.03045      NaN       NaN       NaN       NaN       NaN
   0.09163  0.91399  0.03379      NaN       NaN       NaN       NaN       NaN
   0.10202  0.90417  0.03718      NaN       NaN       NaN       NaN       NaN
   0.11262  0.89414  0.04059      NaN       NaN       NaN       NaN       NaN
   0.12339  0.88392  0.04401      NaN       NaN       NaN       NaN       NaN
   0.13431  0.87355  0.04744      NaN       NaN       NaN       NaN       NaN
   0.14536  0.86305  0.05087      NaN       NaN       NaN       NaN       NaN
   0.15652  0.85242  0.05428      NaN       NaN       NaN       NaN       NaN
   0.16776  0.84170  0.05767      NaN       NaN       NaN       NaN       NaN
   0.17908  0.83090  0.06104      NaN       NaN       NaN       NaN       NaN
   0.19046  0.82003  0.06438      NaN       NaN       NaN       NaN       NaN
   0.20188  0.80909  0.06769      NaN       NaN       NaN       NaN       NaN
   0.21333  0.79812  0.07095      NaN       NaN       NaN       NaN       NaN
   0.22481  0.78710  0.07418      NaN       NaN       NaN       NaN       NaN
   0.23631  0.77604  0.07736      NaN       NaN       NaN       NaN       NaN
   0.24783  0.76497  0.08049      NaN       NaN       NaN       NaN       NaN
   0.25935  0.75387  0.08358      NaN       NaN       NaN       NaN       NaN
   0.27087  0.74275  0.08662      NaN       NaN       NaN       NaN       NaN
   0.28239  0.73162  0.08960      NaN       NaN       NaN       NaN       NaN
   0.29391  0.72049  0.09254      NaN       NaN       NaN       NaN       NaN
   0.30541  0.70935  0.09542      NaN       NaN       NaN       NaN       NaN
   0.31691  0.69820  0.09824      NaN       NaN       NaN       NaN       NaN
   0.32839  0.68706  0.10101      NaN       NaN       NaN       NaN       NaN
   0.33985  0.67593  0.10373      NaN       NaN       NaN       NaN       NaN
   0.35130  0.66479  0.10638      NaN       NaN       NaN       NaN       NaN
   0.36272  0.65367  0.10897      NaN       NaN       NaN       NaN       NaN
   0.37411  0.64256  0.11151      NaN       NaN       NaN       NaN       NaN
   0.38548  0.63146  0.11398      NaN       NaN       NaN       NaN       NaN
   0.39682  0.62038  0.11639      NaN       NaN       NaN       NaN       NaN
   0.40813  0.60932  0.11874      NaN       NaN       NaN       NaN       NaN
   0.41941  0.59828  0.12103      NaN       NaN       NaN       NaN       NaN
   0.43065  0.58726  0.12325      NaN       NaN       NaN       NaN       NaN
   0.44185  0.57627  0.12540      NaN       NaN       NaN       NaN       NaN
   0.45301  0.56530  0.12749      NaN       NaN       NaN       NaN       NaN
   0.46413  0.55437  0.12950      NaN       NaN       NaN       NaN       NaN
   0.47521  0.54346  0.13145      NaN       NaN       NaN       NaN       NaN
   0.48623  0.53260  0.13333      NaN       NaN       NaN       NaN       NaN
   0.49721  0.52177  0.13513      NaN       NaN       NaN       NaN       NaN
   0.50813  0.51099  0.13687      NaN       NaN       NaN       NaN       NaN
   0.51899  0.50025  0.13853      NaN       NaN       NaN       NaN       NaN
   0.52980  0.48956  0.14011      NaN       NaN       NaN       NaN       NaN
   0.54054  0.47893  0.14162      NaN       NaN       NaN       NaN       NaN
   0.55122  0.46835  0.14305      NaN       NaN       NaN       NaN       NaN
   0.56182  0.45783  0.14441      NaN       NaN       NaN       NaN       NaN
   0.57235  0.44738  0.14568      NaN       NaN       NaN       NaN       NaN
   0.58280  0.43699  0.14688      NaN       NaN       NaN       NaN       NaN
   0.59317  0.42669  0.14799      NaN       NaN       NaN       NaN       NaN
   0.60344  0.41647  0.14902      NaN       NaN       NaN       NaN       NaN
   0.61362  0.40633  0.14998      NaN       NaN       NaN       NaN       NaN
   0.62370  0.39630  0.15084      NaN       NaN       NaN       NaN       NaN
