NACA 5321                                       
 Alfa =   0.00000 Re =    60000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00221  0.08469
   0.99578  0.00384  0.08119
   0.98916  0.00639  0.07521
   0.98218  0.00905  0.06867
   0.97484  0.01182  0.06150
   0.96714  0.01470  0.05369
   0.95909  0.01768  0.04521
   0.95068  0.02075  0.03603
   0.94195  0.02391  0.02614
   0.93291  0.02715  0.01554
   0.92358  0.03045  0.00421
   0.91399  0.03379 -0.00782
   0.90417  0.03718 -0.02055
   0.89414  0.04059 -0.03397
   0.88392  0.04401 -0.04803
   0.87355  0.04744 -0.06275
   0.86305  0.05087 -0.07810
   0.85242  0.05428 -0.09409
   0.84170  0.05767 -0.11075
   0.83090  0.06104 -0.12809
   0.82003  0.06438 -0.14620
   0.80909  0.06769 -0.16516
   0.79812  0.07095 -0.18509
   0.78710  0.07418 -0.20617
   0.77604  0.07736 -0.22865
   0.76497  0.08049 -0.25281
   0.75387  0.08358 -0.27903
   0.74275  0.08662 -0.30777
   0.73162  0.08960 -0.33954
   0.72049  0.09254 -0.37497
   0.70935  0.09542 -0.41489
   0.69820  0.09824 -0.46217
   0.68706  0.10101 -0.51381
   0.67593  0.10373 -0.56857
   0.66479  0.10638 -0.62777
   0.65367  0.10897 -0.69310
   0.64256  0.11151 -0.76694
   0.63146  0.11398 -0.83236
   0.62038  0.11639 -0.83494
   0.60932  0.11874 -0.83733
   0.59828  0.12103 -0.83961
   0.58726  0.12325 -0.84181
   0.57627  0.12540 -0.84398
   0.56530  0.12749 -0.84613
   0.55437  0.12950 -0.84831
   0.54346  0.13145 -0.85053
   0.53260  0.13333 -0.85282
   0.52177  0.13513 -0.85520
   0.51099  0.13687 -0.85770
   0.50025  0.13853 -0.86036
   0.48956  0.14011 -0.86320
   0.47893  0.14162 -0.86626
   0.46835  0.14305 -0.86959
   0.45783  0.14441 -0.87324
   0.44738  0.14568 -0.87726
   0.43699  0.14688 -0.88170
   0.42669  0.14799 -0.88666
   0.41647  0.14902 -0.89220
   0.40633  0.14998 -0.89842
   0.39630  0.15084 -0.90544
   0.38637  0.15163 -0.91336
   0.37655  0.15233 -0.92233
   0.36685  0.15295 -0.93249
   0.35729  0.15349 -0.94398
   0.34787  0.15394 -0.95693
   0.33861  0.15431 -0.97143
   0.32951  0.15461 -0.98744
   0.32059  0.15482 -1.00483
   0.31186  0.15496 -1.02395
   0.30334  0.15503 -1.04524
   0.29502  0.15501 -1.06880
   0.28691  0.15487 -1.09324
   0.27897  0.15461 -1.11722
   0.27118  0.15423 -1.13970
   0.26353  0.15374 -1.16010
   0.25600  0.15314 -1.17760
   0.24860  0.15244 -1.19206
   0.24130  0.15164 -1.20363
   0.23412  0.15073 -1.21189
   0.22704  0.14973 -1.21738
   0.22006  0.14863 -1.21999
   0.21319  0.14744 -1.21943
   0.20642  0.14616 -1.21660
   0.19975  0.14480 -1.21086
   0.19318  0.14335 -1.20258
   0.18673  0.14182 -1.19244
   0.18038  0.14021 -1.17953
   0.17414  0.13853 -1.16488
   0.16801  0.13678 -1.14800
   0.16200  0.13497 -1.12949
   0.15610  0.13309 -1.10903
   0.15033  0.13115 -1.08667
   0.14467  0.12916 -1.06335
   0.13915  0.12712 -1.03779
   0.13375  0.12504 -1.01094
   0.12848  0.12291 -0.98351
   0.12335  0.12075 -0.95426
   0.11834  0.11856 -0.92364
   0.11347  0.11634 -0.89307
   0.10874  0.11410 -0.86081
   0.10414  0.11184 -0.82826
   0.09968  0.10956 -0.79478
   0.09536  0.10728 -0.76048
   0.09117  0.10499 -0.72562
   0.08711  0.10270 -0.69047
   0.08319  0.10041 -0.65462
   0.07940  0.09812 -0.61911
   0.07573  0.09584 -0.58247
   0.07219  0.09356 -0.54593
   0.06878  0.09130 -0.50899
   0.06548  0.08906 -0.47168
   0.06231  0.08682 -0.43464
   0.05925  0.08461 -0.39729
   0.05630  0.08241 -0.35992
   0.05346  0.08023 -0.32224
   0.05073  0.07807 -0.28474
   0.04809  0.07593 -0.24693
   0.04556  0.07381 -0.20942
   0.04312  0.07171 -0.17098
   0.04078  0.06963 -0.13315
   0.03852  0.06758 -0.09611
   0.03636  0.06554 -0.05762
   0.03427  0.06353 -0.02052
   0.03227  0.06154  0.01749
   0.03035  0.05956  0.05525
   0.02850  0.05761  0.09314
   0.02673  0.05568  0.13099
   0.02502  0.05377  0.16929
   0.02339  0.05188  0.20741
   0.02183  0.05001  0.24458
   0.02032  0.04815  0.28311
   0.01889  0.04631  0.32031
   0.01751  0.04449  0.35764
   0.01620  0.04269  0.39448
   0.01494  0.04091  0.43200
   0.01374  0.03914  0.46859
   0.01260  0.03738  0.50562
   0.01151  0.03564  0.54169
   0.01048  0.03392  0.57747
   0.00950  0.03221  0.61319
   0.00857  0.03051  0.64764
   0.00769  0.02883  0.68176
   0.00686  0.02716  0.71548
   0.00608  0.02550  0.74764
   0.00535  0.02386  0.77892
   0.00467  0.02223  0.80834
   0.00404  0.02061  0.83654
   0.00345  0.01900  0.86391
   0.00292  0.01741  0.88948
   0.00242  0.01583  0.91242
   0.00198  0.01426  0.93347
   0.00158  0.01271  0.95138
   0.00123  0.01116  0.96816
   0.00092  0.00963  0.98068
   0.00066  0.00812  0.99030
   0.00044  0.00662  0.99704
   0.00027  0.00513  0.99984
   0.00014  0.00366  0.99909
   0.00005  0.00220  0.99427
   0.00001  0.00076  0.98553
   0.00000 -0.00066  0.97249
   0.00005 -0.00209  0.95520
   0.00013 -0.00352  0.93235
