NACA 5321                                       
 Alfa =   3.00000 Re =    60000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   0.01278 -0.02933      NaN
   0.01408 -0.03047      NaN
   0.01543 -0.03158      NaN
   0.01684 -0.03267      NaN
   0.01831 -0.03372      NaN
   0.01984 -0.03475      NaN
   0.02142 -0.03574      NaN
   0.02306 -0.03671      NaN
   0.02477 -0.03765      NaN
   0.02653 -0.03856      NaN
   0.02835 -0.03944      NaN
   0.03023 -0.04030      NaN
   0.03217 -0.04114      NaN
   0.03418 -0.04195      NaN
   0.03625 -0.04273      NaN
   0.03838 -0.04349      NaN
   0.04059 -0.04423      NaN
   0.04287 -0.04495      NaN
   0.04522 -0.04565      NaN
   0.04765 -0.04632      NaN
   0.05016 -0.04697      NaN
   0.05276 -0.04760      NaN
   0.05545 -0.04821      NaN
   0.05823 -0.04880      NaN
   0.06111 -0.04937      NaN
   0.06410 -0.04992      NaN
   0.06720 -0.05045      NaN
   0.07042 -0.05096      NaN
   0.07376 -0.05145      NaN
   0.07724 -0.05192      NaN
   0.08086 -0.05237      NaN
   0.08463 -0.05279      NaN
   0.08856 -0.05320      NaN
   0.09268 -0.05358      NaN
   0.09697 -0.05394      NaN
   0.10147 -0.05428      NaN
   0.10619 -0.05459      NaN
   0.11114 -0.05487      NaN
   0.11633 -0.05513      NaN
   0.12180 -0.05537      NaN
   0.12754 -0.05557      NaN
   0.13360 -0.05574      NaN
   0.13999 -0.05589      NaN
   0.14672 -0.05600      NaN
   0.15382 -0.05608      NaN
   0.16132 -0.05613      NaN
   0.16922 -0.05614      NaN
   0.17754 -0.05613      NaN
   0.18629 -0.05608      NaN
   0.19548 -0.05601      NaN
   0.20509 -0.05591      NaN
   0.21511 -0.05579      NaN
   0.22550 -0.05566      NaN
   0.23621 -0.05553      NaN
   0.24718 -0.05539      NaN
   0.25834 -0.05527      NaN
   0.26964 -0.05517      NaN
   0.28102 -0.05509      NaN
   0.29246 -0.05504      NaN
   0.30391 -0.05502      NaN
   0.31537 -0.05496      NaN
   0.32684 -0.05483      NaN
   0.33834 -0.05462      NaN
   0.34989 -0.05436      NaN
   0.36150 -0.05403      NaN
   0.37317 -0.05365      NaN
   0.38491 -0.05321      NaN
   0.39672 -0.05272      NaN
   0.40861 -0.05218      NaN
   0.42058 -0.05158      NaN
   0.43262 -0.05095      NaN
   0.44474 -0.05027      NaN
   0.45693 -0.04954      NaN
   0.46920 -0.04878      NaN
   0.48154 -0.04798      NaN
   0.49395 -0.04714      NaN
   0.50643 -0.04628      NaN
   0.51898 -0.04537      NaN
   0.53159 -0.04444      NaN
   0.54426 -0.04349      NaN
   0.55698 -0.04250      NaN
   0.56976 -0.04150      NaN
   0.58259 -0.04047      NaN
   0.59547 -0.03942      NaN
   0.60840 -0.03835      NaN
   0.62136 -0.03726      NaN
   0.63437 -0.03616      NaN
   0.64740 -0.03504      NaN
   0.66047 -0.03391      NaN
   0.67356 -0.03277      NaN
   0.68667 -0.03162      NaN
   0.69979 -0.03046      NaN
   0.71293 -0.02930      NaN
   0.72606 -0.02812      NaN
   0.73920 -0.02694      NaN
   0.75232 -0.02576      NaN
   0.76543 -0.02457      NaN
   0.77850 -0.02338      NaN
   0.79153 -0.02219      NaN
   0.80449 -0.02100      NaN
   0.81739 -0.01981      NaN
   0.83018 -0.01863      NaN
   0.84285 -0.01745      NaN
   0.85537 -0.01629      NaN
   0.86771 -0.01513      NaN
   0.87982 -0.01399      NaN
   0.89168 -0.01286      NaN
   0.90324 -0.01176      NaN
   0.91445 -0.01068      NaN
   0.92529 -0.00964      NaN
   0.93570 -0.00863      NaN
   0.94567 -0.00765      NaN
   0.95517 -0.00672      NaN
   0.96419 -0.00582      NaN
   0.97272 -0.00497      NaN
   0.98077 -0.00416      NaN
   0.98835 -0.00339      NaN
   0.99548 -0.00267      NaN
   1.00000 -0.00221      NaN
