#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00221  0.93005  0.043824  0.019979  0.000419     2.193
   0.00453  0.99578  0.00384  0.93230  0.043097  0.019787  0.000434     2.178
   0.01162  0.98916  0.00639  0.93600  0.041828  0.019480  0.000452     2.147
   0.01909  0.98218  0.00905  0.94001  0.040528  0.019155  0.000473     2.116
   0.02693  0.97484  0.01182  0.94443  0.039195  0.018807  0.000496     2.084
   0.03515  0.96714  0.01470  0.94930  0.037842  0.018436  0.000521     2.053
   0.04374  0.95909  0.01768  0.95453  0.036487  0.018049  0.000551     2.022
   0.05269  0.95068  0.02075  0.96018  0.035137  0.017642  0.000584     1.992
   0.06198  0.94195  0.02391  0.96632  0.033801  0.017216  0.000621     1.963
   0.07158  0.93291  0.02715  0.97286  0.032494  0.016776  0.000662     1.937
   0.08147  0.92358  0.03045  0.97984  0.031223  0.016324  0.000710     1.913
   0.09163  0.91399  0.03379  0.98735  0.030001  0.015855  0.000764     1.892
   0.10202  0.90417  0.03718  0.99527  0.028834  0.015379  0.000826     1.875
   0.11262  0.89414  0.04059  1.00376  0.027726  0.014890  0.000895     1.862
   0.12339  0.88392  0.04401  1.01274  0.026686  0.014392  0.000973     1.854
   0.13431  0.87355  0.04744  1.02197  0.025719  0.013900  0.001059     1.850
   0.14536  0.86305  0.05087  1.03160  0.024824  0.013408  0.001152     1.851
   0.15652  0.85242  0.05428  1.04140  0.024005  0.012925  0.001247     1.857
   0.16776  0.84170  0.05767  1.05131  0.023259  0.012456  0.001338     1.867
   0.17908  0.83090  0.06104  1.06127  0.022586  0.012000  0.001419     1.882
   0.19046  0.82003  0.06438  1.07109  0.021984  0.011567  0.001489     1.901
   0.20188  0.80909  0.06769  1.08080  0.021451  0.011151  0.001569     1.924
   0.21333  0.79812  0.07095  1.09037  0.020982  0.010754  0.001636     1.951
   0.22481  0.78710  0.07418  1.09993  0.020579  0.010373  0.001691     1.984
   0.23631  0.77604  0.07736  1.10939  0.020238  0.010006  0.001734     2.023
   0.24783  0.76497  0.08049  1.11885  0.019959  0.009649  0.001765     2.068
   0.25935  0.75387  0.08358  1.12837  0.019741  0.009297  0.001780     2.123
   0.27087  0.74275  0.08662  1.13807  0.019582  0.008948  0.001776     2.188
   0.28239  0.73162  0.08960  1.14809  0.019487  0.008596  0.001750     2.267
   0.29391  0.72049  0.09254  1.15855  0.019452  0.008236  0.001738     2.362
   0.30541  0.70935  0.09542  1.16958  0.019483  0.007867  0.001694     2.477
   0.31691  0.69820  0.09824  1.18615  0.019537  0.007381  0.001610     2.647
   0.32839  0.68706  0.10101  1.19814  0.019681  0.006995  0.001452     2.814
   0.33985  0.67593  0.10373  1.21145  0.019864  0.006578  0.001162     3.020
   0.35130  0.66479  0.10638  1.22687  0.020096  0.006117  0.000722     3.285
   0.36272  0.65367  0.10897  1.24586  0.020374  0.005591 -0.000128     3.644
   0.37411  0.64256  0.11151  1.26968  0.020686  0.004982 -0.000400     4.152
   0.38548  0.63146  0.11398  1.30919  0.021013  0.004159 -0.000461     5.053
   0.39682  0.62038  0.11639  1.34464  0.021297  0.003367 -0.000806     6.326
   0.40813  0.60932  0.11874  1.38181  0.021547  0.002616 -0.000815     8.237
   0.41941  0.59828  0.12103  1.43701  0.021644  0.001765 -0.000823    12.262
   0.43065  0.58726  0.12325  1.43827  0.021846  0.001745 -0.000831    12.518
   0.44185  0.57627  0.12540  1.43934  0.021855  0.001727 -0.000840    12.651
   0.45301  0.56530  0.12749  1.44032  0.021712  0.001711 -0.000849    12.687
   0.46413  0.55437  0.12950  1.44125  0.021457  0.001697 -0.000858    12.646
   0.47521  0.54346  0.13145  1.44213  0.021106  0.001683 -0.000868    12.541
   0.48623  0.53260  0.13333  1.44299  0.020679  0.001670 -0.000878    12.382
