#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00221  0.95672  0.047420  0.017039  0.000359     2.783
   0.00453  0.99578  0.00384  0.95854  0.046785  0.016884  0.000370     2.771
   0.01162  0.98916  0.00639  0.96166  0.045618  0.016624  0.000395     2.744
   0.01909  0.98218  0.00905  0.96506  0.044413  0.016347  0.000421     2.717
   0.02693  0.97484  0.01182  0.96876  0.043169  0.016053  0.000450     2.689
   0.03515  0.96714  0.01470  0.97278  0.041901  0.015743  0.000481     2.662
   0.04374  0.95909  0.01768  0.97713  0.040621  0.015418  0.000514     2.635
   0.05269  0.95068  0.02075  0.98182  0.039338  0.015078  0.000548     2.609
   0.06198  0.94195  0.02391  0.98684  0.038060  0.014726  0.000582     2.585
   0.07158  0.93291  0.02715  0.99220  0.036801  0.014363  0.000618     2.562
   0.08147  0.92358  0.03045  0.99790  0.035567  0.013990  0.000653     2.542
   0.09163  0.91399  0.03379  1.00390  0.034372  0.013611  0.000687     2.525
   0.10202  0.90417  0.03718  1.01023  0.033220  0.013227  0.000719     2.511
   0.11262  0.89414  0.04059  1.01684  0.032119  0.012840  0.000748     2.501
   0.12339  0.88392  0.04401  1.02373  0.031078  0.012452  0.000773     2.496
   0.13431  0.87355  0.04744  1.03090  0.030099  0.012064  0.000793     2.495
   0.14536  0.86305  0.05087  1.03832  0.029185  0.011677  0.000806     2.499
   0.15652  0.85242  0.05428  1.04599  0.028343  0.011292  0.000811     2.510
   0.16776  0.84170  0.05767  1.05392  0.027570  0.010909  0.000807     2.527
   0.17908  0.83090  0.06104  1.06212  0.026871  0.010528  0.000793     2.552
   0.19046  0.82003  0.06438  1.07061  0.026244  0.010148  0.000768     2.586
   0.20188  0.80909  0.06769  1.07942  0.025691  0.009768  0.000743     2.630
   0.21333  0.79812  0.07095  1.08862  0.025208  0.009386  0.000715     2.686
   0.22481  0.78710  0.07418  1.09826  0.024800  0.009000  0.000672     2.755
   0.23631  0.77604  0.07736  1.10844  0.024460  0.008607  0.000613     2.842
   0.24783  0.76497  0.08049  1.11929  0.024188  0.008204  0.000536     2.948
   0.25935  0.75387  0.08358  1.13094  0.023981  0.007787  0.000442     3.080
   0.27087  0.74275  0.08662  1.14358  0.023834  0.007351  0.000330     3.242
   0.28239  0.73162  0.08960  1.15739  0.023744  0.006893  0.000202     3.445
   0.29391  0.72049  0.09254  1.17259  0.023699  0.006409  0.000063     3.698
   0.30541  0.70935  0.09542  1.18949  0.023692  0.005894 -0.000077     4.020
   0.31691  0.69820  0.09824  1.20920  0.023693  0.005320 -0.000207     4.453
   0.32839  0.68706  0.10101  1.23037  0.023710  0.004735 -0.000296     5.008
   0.33985  0.67593  0.10373  1.25243  0.023724  0.004155 -0.000333     5.709
   0.35130  0.66479  0.10638  1.27584  0.023711  0.003573 -0.000355     6.636
   0.36272  0.65367  0.10897  1.30119  0.023637  0.002977 -0.000372     7.939
   0.37411  0.64256  0.11151  1.32926  0.023455  0.002358 -0.000389     9.946
   0.38548  0.63146  0.11398  1.35365  0.023196  0.001858 -0.000711    12.485
   0.39682  0.62038  0.11639  1.35460  0.023074  0.001841 -0.000717    12.532
   0.40813  0.60932  0.11874  1.35548  0.022813  0.001826 -0.000724    12.493
   0.41941  0.59828  0.12103  1.35632  0.022449  0.001812 -0.000731    12.389
   0.43065  0.58726  0.12325  1.35713  0.022005  0.001799 -0.000737    12.232
   0.44185  0.57627  0.12540  1.35793  0.021496  0.001786 -0.000744    12.034
   0.45301  0.56530  0.12749  1.35872  0.020930  0.001774 -0.000751    11.798
   0.46413  0.55437  0.12950  1.35953  0.020323  0.001762 -0.000758    11.534
   0.47521  0.54346  0.13145  1.36034  0.019676  0.001750 -0.000766    11.242
   0.48623  0.53260  0.13333  1.36118  0.019001  0.001738 -0.000774    10.930
   0.49721  0.52177  0.13513  1.36206  0.018301  0.001727 -0.000783    10.600
   0.50813  0.51099  0.13687  1.36297  0.017582  0.001714 -0.000792    10.255
   0.51899  0.50025  0.13853  1.36395  0.016849  0.001702 -0.000802     9.900
   0.52980  0.48956  0.14011  1.36499  0.016105  0.001689 -0.000813     9.534
   0.54054  0.47893  0.14162  1.36611  0.015357  0.001676 -0.000825     9.163
   0.55122  0.46835  0.14305  1.36733  0.014606  0.001662 -0.000839     8.788
   0.56182  0.45783  0.14441  1.36866  0.013857  0.001647 -0.000854     8.412
   0.57235  0.44738  0.14568  1.37013  0.013115  0.001632 -0.000872     8.038
   0.58280  0.43699  0.14688  1.37175  0.012380  0.001615 -0.000891     7.665
   0.59317  0.42669  0.14799  1.37356  0.011658  0.001598 -0.000914     7.297
   0.60344  0.41647  0.14902  1.37557  0.010951  0.001579 -0.000941     6.935
   0.61362  0.40633  0.14998  1.37783  0.010262  0.001559 -0.000971     6.583
   0.62370  0.39630  0.15084  1.38038  0.009594  0.001538 -0.001007     6.240
   0.63366  0.38637  0.15163  1.38324  0.008947  0.001515 -0.001046     5.907
   0.64350  0.37655  0.15233  1.38648  0.008326  0.001490 -0.001084     5.587
   0.65321  0.36685  0.15295  1.39014  0.007732  0.001464 -0.001106     5.281
   0.66279  0.35729  0.15349  1.39427  0.007162  0.001436 -0.001106     4.987
   0.67222  0.34787  0.15394  1.39890  0.006622  0.001406 -0.001056     4.708
   0.68149  0.33861  0.15431  1.40408  0.006110  0.001375 -0.000923     4.443
   0.69059  0.32951  0.15461  1.40977  0.005623  0.001342 -0.000673     4.189
   0.69952  0.32059  0.15482  1.41592  0.005162  0.001308 -0.000267     3.946
   0.70825  0.31186  0.15496  1.42266  0.004725  0.001272  0.000334     3.714
   0.71677  0.30334  0.15503  1.43012  0.004302  0.001234  0.001206     3.486
   0.72509  0.29502  0.15501  1.43833  0.003906  0.001193  0.002367     3.273
   0.73320  0.28691  0.15487  1.44680  0.003576  0.001152  0.003632     3.105
   0.74115  0.27897  0.15461  1.45507  0.003303  0.001111  0.004920     2.973
   0.74895  0.27118  0.15423  1.46277  0.003077  0.001073  0.006191     2.869
   0.75661  0.26353  0.15374  1.46973  0.002885  0.001036  0.007442     2.784
   0.76416  0.25600  0.15314  1.47567  0.002725  0.001003  0.008615     2.717
   0.77160  0.24860  0.15244  1.48056  0.002589  0.000972  0.009713     2.664
   0.77894  0.24130  0.15164  1.48446  0.002470  0.000943  0.010769     2.619
   0.78618  0.23412  0.15073  1.48724  0.002368  0.000917  0.011731     2.583
   0.79333  0.22704  0.14973  1.48909  0.002275  0.000892  0.012661     2.551
   0.80039  0.22006  0.14863  1.48996  0.002193  0.000869  0.013545     2.524
   0.80737  0.21319  0.14744  1.48977  0.002120  0.000847  0.014336     2.502
   0.81426  0.20642  0.14616  1.48882  0.002052  0.000827  0.015133     2.482
   0.82107  0.19975  0.14480  1.48690  0.001991  0.000808  0.015852     2.465
   0.82779  0.19318  0.14335  1.48411  0.001936  0.000790  0.016512     2.451
   0.83443  0.18673  0.14182  1.48069  0.001882  0.000772  0.017200     2.436
   0.84098  0.18038  0.14021  1.47632  0.001834  0.000756  0.017786     2.426
   0.84744  0.17414  0.13853  1.47135  0.001788  0.000740  0.018386     2.415
   0.85381  0.16801  0.13678  1.46561  0.001746  0.000726  0.018924     2.406
   0.86009  0.16200  0.13497  1.45928  0.001704  0.000711  0.019473     2.397
   0.86628  0.15610  0.13309  1.45225  0.001666  0.000697  0.019982     2.389
